query index: 1266, matched index: 4975, distance: 2.0909571342896256
query index: 1267, matched index: 4980, distance: 1.968645370290504
query index: 1268, matched index: 4980, distance: 0.49081431182103796
query index: 1269, matched index: 4980, distance: 0.8979089273403088
query index: 1270, matched index: 4990, distance: 1.2969848687039476
query index: 1271, matched index: 4995, distance: 2.2871966176548333
query index: 1272, matched index: 5000, distance: 3.8583525930642715
query index: 1273, matched index: 16265, distance: 5.654209071047299
query index: 1274, matched index: 16260, distance: 5.128922770228982
query index: 1275, matched index: 16255, distance: 4.687497018919178
query index: 1276, matched index: 16250, distance: 4.007385436319563
query index: 1277, matched index: 16245, distance: 3.199870730090947
query index: 1278, matched index: 16240, distance: 2.2288564771441792
query index: 1279, matched index: 16235, distance: 1.6384309371977441
query index: 1280, matched index: 16230, distance: 1.469858868372808
query index: 1281, matched index: 16225, distance: 1.3062695672454196
query index: 1282, matched index: 16220, distance: 1.1996993618730887
query index: 1283, matched index: 16215, distance: 1.4919163509118902
query index: 1284, matched index: 16210, distance: 1.464536147725644
query index: 1285, matched index: 16205, distance: 0.6559663612000675
query index: 1286, matched index: 16200, distance: 1.006279101578078
query index: 1287, matched index: 16195, distance: 0.6952391802155757
query index: 1288, matched index: 16190, distance: 0.7814303399649631
query index: 1289, matched index: 16185, distance: 1.8741408112198388
query index: 1290, matched index: 16180, distance: 1.8073353923285058
query index: 1291, matched index: 16175, distance: 1.2996578286004192
query index: 1292, matched index: 16170, distance: 1.382804965467999
query index: 1293, matched index: 16165, distance: 1.78963001613512
query index: 1294, matched index: 16160, distance: 1.916844244305257
query index: 1295, matched index: 16155, distance: 1.705343314235028
query index: 1296, matched index: 16150, distance: 1.5277751421746046
query index: 1297, matched index: 16145, distance: 1.6279867617914001
query index: 1298, matched index: 16140, distance: 1.7148131673675702
query index: 1299, matched index: 16135, distance: 1.7160661414744576
query index: 1300, matched index: 16130, distance: 1.6474733216429212
query index: 1301, matched index: 16125, distance: 1.6028085636607532
query index: 1302, matched index: 16120, distance: 1.551364704848666
query index: 1303, matched index: 16115, distance: 1.5551437717151748
query index: 1304, matched index: 16110, distance: 1.3613368018086036
query index: 1305, matched index: 16105, distance: 1.3565885936211324
query index: 1306, matched index: 16100, distance: 1.2295676297019893
query index: 1307, matched index: 16095, distance: 1.1329981273872607
query index: 1308, matched index: 16090, distance: 1.096960744696705
query index: 1309, matched index: 16085, distance: 1.0892527311830733
query index: 1310, matched index: 16080, distance: 1.031055117390829
query index: 1311, matched index: 16075, distance: 1.0672034992923338
query index: 1312, matched index: 16070, distance: 1.1904309209155048
query index: 1313, matched index: 16065, distance: 1.188909478522474
query index: 1314, matched index: 16060, distance: 1.0960214259315912
query index: 1315, matched index: 16056, distance: 0.8276938617009548
query index: 1316, matched index: 16051, distance: 0.8553666338955588
query index: 1317, matched index: 16048, distance: 0.4321452988733841
query index: 1318, matched index: 16044, distance: 0.28778155628214186
query index: 1319, matched index: 16040, distance: 0.5632060860502783
query index: 1320, matched index: 16035, distance: 0.5266467970650152
